timestamp (ISO),user_id,condition,diameter,amount,completion_time (ms),start_pointer_x,start_pointer_y,end_pointer_x,end_pointer_y,error,improvement
2021-05-07T12:48:15,3,1,75,20,1359,854,484,322,82,True,True
2021-05-07T12:48:16,3,3,75,20,1124,322,82,502,602,True,True
2021-05-07T12:48:17,3,1,75,20,1051,502,602,682,722,True,True
2021-05-07T12:48:18,3,2,100,20,956,682,722,1170,370,True,True
2021-05-07T12:48:19,3,3,125,20,1345,1170,370,1557,57,True,True
2021-05-07T12:48:20,3,1,75,20,944,1557,57,1202,142,True,True
2021-05-07T12:48:21,3,3,125,20,798,1202,142,1297,257,True,True
2021-05-07T12:48:22,3,2,125,20,763,1297,257,1017,437,True,True
2021-05-07T12:48:23,3,3,75,20,1709,1017,437,742,702,True,True
2021-05-07T12:48:25,3,1,100,20,1646,742,702,330,110,True,True
2021-05-07T12:48:26,3,1,100,20,789,330,110,90,190,True,True
2021-05-07T12:48:28,3,2,75,20,1807,90,190,1122,142,True,True
2021-05-07T12:48:28,3,2,100,20,828,1122,142,610,430,True,True
2021-05-07T12:48:30,3,3,75,20,1765,610,430,1542,222,True,True
2021-05-07T12:48:32,3,2,100,20,1382,1542,222,230,390,True,True
