timestamp (ISO), user_id, condition, diameter, amount, completion_time (ms), start_pointer_x, start_pointer_y, end_pointer_x, end_pointer_y, error, improvement 
2021-05-07T11:42:55, 4, 2, 75, 20, 2027, 1399, 545, 1382, 242, True, True 
2021-05-07T11:42:56, 4, 3, 50, 20, 1231, 1382, 242, 695, 375, True, True 
2021-05-07T11:42:58, 4, 1, 50, 20, 1386, 695, 375, 1475, 195, True, True 
2021-05-07T11:42:59, 4, 3, 125, 20, 789, 1475, 195, 1077, 217, True, True 
2021-05-07T11:43:00, 4, 1, 125, 20, 1674, 1077, 217, 397, 457, True, True 
2021-05-07T11:43:02, 4, 2, 50, 20, 1845, 397, 457, 755, 335, True, True 
2021-05-07T11:43:03, 4, 3, 125, 20, 1330, 755, 335, 1477, 477, True, True 
2021-05-07T11:43:05, 4, 2, 50, 20, 1634, 1477, 477, 535, 755, True, True 
2021-05-07T11:43:06, 4, 1, 125, 20, 1088, 535, 755, 1577, 497, True, True 
2021-05-07T11:43:08, 4, 2, 75, 20, 1418, 1577, 497, 1742, 602, True, True 
2021-05-07T11:43:08, 4, 3, 125, 20, 685, 1742, 602, 1297, 557, True, True 
2021-05-07T11:43:09, 4, 1, 100, 20, 904, 1297, 557, 490, 630, True, True 
2021-05-07T11:43:10, 4, 3, 125, 20, 809, 490, 630, 177, 237, True, True 
2021-05-07T11:43:11, 4, 1, 100, 20, 1129, 176, 237, 1390, 690, True, True 
2021-05-07T11:43:12, 4, 2, 50, 20, 1049, 1390, 690, 615, 195, True, True 
