timestamp (ISO),user_id,condition,diameter,amount,completion_time (ms),start_pointer_x,start_pointer_y,end_pointer_x,end_pointer_y,error,improvement
2021-05-07T12:25:55,3,1,125,20,2377,27,836,1460,68,True,False
2021-05-07T12:25:57,3,3,125,20,1205,1460,68,1353,324,True,False
2021-05-07T12:25:58,3,2,100,20,1795,1353,324,1666,418,True,False
2021-05-07T12:26:01,3,3,100,20,2346,1666,418,1686,79,True,False
2021-05-07T12:26:03,3,3,50,20,1919,1686,79,1702,731,True,False
2021-05-07T12:26:05,3,2,100,20,1792,1702,731,643,418,True,False
2021-05-07T12:26:06,3,1,125,20,1008,643,418,1152,639,True,False
2021-05-07T12:26:07,3,2,50,20,1315,1152,639,593,735,True,False
2021-05-07T12:26:08,3,3,125,20,1115,593,735,1039,100,True,False
2021-05-07T12:26:09,3,1,100,20,1115,1039,100,1431,672,True,False
2021-05-07T12:26:11,3,2,75,20,1438,1431,672,1308,465,True,False
2021-05-07T12:26:13,3,3,125,20,2514,1308,465,281,367,True,False
2021-05-07T12:26:15,3,1,100,20,1640,281,367,738,186,True,False
2021-05-07T12:26:16,3,2,50,20,1818,738,186,527,277,True,False
2021-05-07T12:26:18,3,1,125,20,1409,527,277,1248,84,True,False
